Title,Address,Halal,Muslim Owned,Food Court,Mixed Food Court,Type of Food,Latitude,Longitude,Ratings,Review
Yang's Epok Epok @ KINEX,"11 Tanjong Katong Rd, Singapore 436950  #B1-K8",No,Yes,No,Yes,"Chicken, Beef, Malay",1.314618499,103.894738,3.7,10.0
An-Nur Shenton Way Special @ Upper Serangoon Road,"768 Upper Serangoon Rd, Singapore 534636",No,Yes,No,Yes,"Indian, Mee Combo",1.354231042,103.8789493,4.0,16.0
Telur Thai @ Northpoint City (North Wing),"930 Yishun Avenue 2, Singapore 769098 #B2-12",Yes,No,No,Yes,Thai,1.429244143,103.8361072,No Rating,No Reviews
Telur Thai @ Singapore General Hospital (Block 6),"6 Outram Road, Singapore 169608 #01",Yes,No,No,Yes,Thai,1.280617796,103.8390632,No Rating,No Reviews
Telur Thai @ Tampines Mall (Kopitiam),"4 Tampines Central 5, Singapore 529510 #04-27/28/29",Yes,No,No,Yes,Thai,1.352504683,103.9446826,No Rating,No Reviews
Telur Thai @ IMM (Kopitiam),"2 Jurong East Street 21, Singapore 609601 #03-55",Yes,No,No,Yes,Thai,1.334917588,103.7468771,4.0,11.0
Telur Thai @ Paya Lebar Square (Cantine),"60 Paya Lebar Rd, Singapore 409051 #B1-51",Yes,No,No,Yes,Thai,1.31881487,103.8925808,2.3,15.0
Telur Thai @ Hillion Mall (Kopitiam),"17 Petir Rd, Singapore 678278 #02-15, Stall 17",Yes,No,No,Yes,Thai,1.378431008,103.7628428,2.2,37.0
BAKAR @ Greenridge Shopping Centre,"524 Jelapang Road, Singapore 671524 #01-03",Yes,No,No,Yes,"Indonesian, BBQ, Ayam Bakar",1.386135496,103.7658635,No Rating,No Reviews
Fork and Spoon @ Woodlands Mart,"768 Woodlands Ave 6, #01-32, Singapore 730768 #01-32",Yes,No,No,Yes,"Singaporean, Asian, Chicken, Indonesian, Chinese, Seafood, Healthy, Vegetarian",1.3320348,103.8493387,4.0,984.0
Fork and Spoon @ HDB Hub,"470 Lor 6 Toa Payoh, Singapore 310470 #02-70",Yes,No,No,Yes,"Singaporean, Asian, Chicken, Indonesian, Chinese, Seafood, Healthy, Vegetarian",1.332034739,103.8493387,4.2,984.0
Cantine by Kopitiam @ Canberra Plaza,"133 Canberra View, Singapore 750133 #01-21/22/23",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",1.443495445,103.8303454,2.4,75.0
Cantine by Kopitiam @ Greenridge Shopping Centre,"524A Jelapang Rd, Singapore 671524",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",1.385295563,103.7661705,3.7,116.0
Cantine by Kopitiam @ Northshore Plaza 2,"418 Northshore Dr, Singapore 820418 #02-07/08/09",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",1.417961431,103.9013218,3.4,306.0
Cantine Corner by Kopitiam @ Admiralty Place,"678A Woodlands Ave 6, Singapore 731678",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",1.440363676,103.8015374,3.1,34.0
Cantine by Kopitiam @ Jurong Point (JP1),"1 Jurong West Central 2, Singapore 648886 #B1-42/43/44",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",1.339452004,103.706685,3.8,728.0
Cantine by Kopitiam @ Causeway Point,"1 Woodlands Square, Singapore 738099 #07-03",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",1.436007845,103.7856887,3.9,703.0
Cantine by Kopitiam @ Paya Lebar Square,"60 Paya Lebar Rd, Singapore 409051 #B1-51",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",1.31881487,103.8925808,3.4,443.0
Cantine by Kopitiam @ Northpoint City,"930 Yishun Ave 2, Singapore 769098 #02-101/102/103",Yes,No,Yes,No,"Western, Asian, Beverages, Vegetarian, Chicken, Seafood, Chinese, Japanese, Korean, Indian, Thai, Italian, American, Indonesian, Beef, Lamb",1.429244143,103.8361072,4.0,893.0
Bounce Teochew Fishball Noodles @ Northshore Plaza 2,"418 Northshore Dr, Singapore 820418 #02-07/08/09",Yes,No,No,Yes,"Asian, Chinese",1.417961431,103.9013218,No Rating,No Reviews
ABC Eating House @ Tampines Street 21,"201d Tampines Street 21, Singapore 524201 #01-1105",No,Yes,Yes,No,,1.352262314,103.9535865,3.0,262.0
ABC Eating House @ Elias Mall,"625 Elias Rd, Singapore 510625",No,Yes,Yes,No,Opens 24 Hours,1.37860239,103.9419782,2.2,71.0
Harummanis Muslim Food @ Teck Whye Lane,"145 Teck Whye Ln, Singapore 680145",No,Yes,No,Yes,Malay,1.3813747,103.7524688,2.0,33.0
TWO GUYS @ Seah Im Food Centre,"2 Seah Im Rd, Singapore 099114 #01-28",No,Yes,No,Yes,"Middle Eastern, Western",1.266568132,103.819248,4.9,65.0
Super Shiok Nasi Lemak @ Tiong Bahru Food Centre,"30 Seng Poh Rd, Singapore 168898 #02-38",Yes,No,No,Yes,Malay,1.284685992,103.8324216,4.2,42.0
Super Shiok Nasi Lemak @ Chinatown Complex,"335 Smith St, Singapore 050335 #02-132",Yes,No,No,Yes,Malay,1.282274961,103.8432385,3.3,15.0
Super Shiok Nasi Lemak @ Bendemeer Market & Food Centre,"29 Bendemeer Rd, Singapore 330029 #01-13",Yes,No,No,Yes,Malay,1.319216679,103.8630209,3.9,29.0
Tasty Wok @ Tampines Street 44,"478 Tampines Street 44, Singapore 520478 #01-221",Yes,No,No,Yes,Chinese,1.361318946,103.9531259,No Rating,No Reviews
Tasty Wok @ Loyang Point (Koufu),"258 Pasir Ris Street 21, Singapore 510258 #02-09",Yes,No,No,Yes,Chinese,1.367066342,103.9646356,1.9,42.0
Tasty Wok @ Eunos Crescent,"1A Eunos Cres, Singapore 401001",Yes,No,No,Yes,Chinese,1.321290305,103.9027278,3.2,36.0
Mala Wok by Tasty Wok (Bedok Food Centre),"1 Bedok Rd, Singapore 469572",Yes,No,No,Yes,Chinese,1.321236658,103.9286766,4.8,13.0
Tasty Wok @ Changi Road (Foodhub),"60 Changi Rd, Singapore 419712",Yes,No,No,Yes,Chinese,1.316362894,103.8995274,2.6,5.0
Mohamadia (Indian Muslim Food) @ Clementi Avenue 2,"353 Clementi Ave 2, Singapore 120353",No,Yes,No,Yes,Indian,1.31437918,103.7709196,4.6,14.0
Fitra Chicken Rice @ Westgate (Food Junction),"3 Gateway Dr, Singapore 608532 B1",Yes,No,No,Yes,"Asian, Chicken, Singaporean",1.33415752,103.7427665,No Rating,No Reviews
Mohamed Hanifa @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503",No,Yes,No,Yes,Indian,1.311584337,103.759907,1.0,1.0
ABANG By Pondok Abang @ Botanical Gardens (Sprouts Food Place),"1j Cluny Rd, Singapore 259607",No,Yes,No,Yes,Malay,1.316944454,103.818339,No Rating,No Reviews
ABANG By Pondok Abang @ Clementi Avenue 3,"448 Clementi Ave 3, Singapore 120448 #01-03",No,Yes,No,Yes,Malay,1.313319693,103.7645172,3.5,28.0
Indo Express @ Millage,"55 Changi Rd, Singapore 419709 #01-03",Yes,No,Yes,No,Indonesian,1.316916263,103.8989898,4.0,4.0
Indo Express @ Lucky Plaza,"304 Orchard Rd, Singapore 238863 #01-71",Yes,No,Yes,No,Indonesian,1.304485791,103.8339419,3.7,78.0
Indo Express @ Northshore Plaza II (Cantine),"418 Northshore Drive, Singapore 820418 #02-07",Yes,No,Yes,No,Indonesian,1.417961431,103.9013218,1.7,3.0
Little Sayang @ Toa Payoh Industrial Park,"9 Toa Payoh Industrial Park, Singapore 319061",Yes,No,No,Yes,"Western, Malay, Fusion",1.336745062,103.860128,4.1,48.0
Warong Kim’s Seafood @ Woodlands Street 13,"182 Woodlands Street 13, Singapore",Yes,No,No,Yes,"Seafood, Singaporean, Chicken, Beef, Vegetarian, , Asian",1.435158951,103.7760233,3.4,12.0
SAFA Indian Muslim Food @ Woodlands Street 13,"182 Woodlands Street 13, Singapore 730182 #01-06",No,Yes,No,Yes,Indian,1.435158951,103.7760233,1.5,20.0
Salai by Meatdrop @ Joo Chiat Road,"82 Joo Chiat Rd, Singapore 427379",No,Yes,Yes,No,Western,1.314467385,103.8986235,4.4,80.0
Shawarma N Kebab and Sweets @ Buangkok Hawker Centre,"70 Compassvale Bow, Singapore 544692",No,Yes,No,Yes,Middle Eastern,1.383894176,103.8924188,No Rating,No Reviews
Kerabu by Arang @ Yishun Park Hawker Centre,"51 Yishun Ave 11, Singapore 768867 #01-04",No,Yes,No,Yes,"Malay, Nasi Kerabu",1.424987863,103.8447475,4.3,40.0
HumFull Prawn Laksa @ Yishun Street 51,"513 Yishun St 51, Singapore 760513",Yes,No,No,Yes,Asian,1.416004869,103.8442517,4.4,195.0
Al Hafiz Indian Muslim Food @ Anchorvale Crescent,"338 Anchorvale Cres, Singapore 544651",No,Yes,No,Yes,Indian,1.399227725,103.8896559,2.5,10.0
Al Hayat Indian Muslim Food @ Serangoon Avenue 4,"214 Serangoon Ave 4, Singapore 550214",No,Yes,No,Yes,Indian,1.357324352,103.8736335,3.3,7.0
Al Hayat Indian Muslim Food @ Hougang Avenue 5,"322 Hougang Ave 5, Singapore 530322",No,Yes,No,Yes,Indian,1.367098554,103.8969787,2.8,27.0
IKEA @ Tampines (Halal Line),"60 Tampines North Drive 2, Singapore 528764",Yes,No,No,Yes,"Western, Asian",1.37407267,103.9326614,4.2,3656.0
Alley Wei Teppan-Yaki @ Bugis Junction,"200 Victoria St, Singapore 188021 #B1-K23",Yes,No,No,Yes,Japanese,1.299112875,103.8554112,2.0,53.0
Fried Rice Story @ Anchorvale Street,"330 Anchorvale St, Singapore 540330 #Stall 7",Yes,No,No,Yes,"BBQ, Chinese, Singaporean, Seafood, Malay, Beef, Asian, Chicken",1.396849799,103.8892468,4.1,20.0
Flips N Dips @ Paya Lebar Square,"60 Paya Lebar Road, Singapore 409051 #B1-51",No,Yes,Yes,No,"Malay, Western, Fusion",1.31881487,103.8925808,4.3,88.0
Makan Singapura @ Keat Hong CC,"2 Choa Chu Kang Loop, #01-02/03 Keat Hong Community Club, Singapore 689687 #01-02/03",No,Yes,Yes,No,"Asian, Chinese, Western, Malay",1.3840959,103.7449494,1.5,44.0
Just Lazzat @ Bedok North Avenue 2,"418 Bedok North Ave 2, Singapore 460418",Yes,No,No,Yes,"Fusion, Malay, Beef, Lamb, BBQ, Asian, Chicken, Indonesian, Opens 24 Hours",1.328564212,103.9300365,3.0,11.0
Mukmin Restaurant @ Bedok North Street 2,"129 Bedok North Street 2, #01-26, Singapore 460129 #01-26",No,Yes,Yes,No,,1.3275545,103.9380305,4.2,680.0
Pondok Tradisi @ Tampines Street 86,"872c Tampines Street 86, Singapore 523872",No,Yes,No,Yes,Malay,1.355226471,103.9316263,4.1,9.0
My Nasi Ayam @ Ang Mo Kio Avenue 4 (Kedai Kopi),"108 Ang Mo Kio Avenue 4, Singapore 560108 #01-74",Yes,No,No,Yes,"Singaporean, Asian, Chinese",1.370966352,103.8382019,No Rating,No Reviews
My Nasi Ayam @ Yishun Central 12 (Kedai Kopi),"925 Yishun Central 12, Singapore 760925 #01-211",Yes,No,No,Yes,"Singaporean, Asian, Chinese",1.4282309,103.8374503,No Rating,No Reviews
My Nasi Ayam @ Haig Road (Kedai Kopi),"12 Haig Rd, Singapore 430012",Yes,No,No,Yes,"Singaporean, Asian, Chinese",1.315608958,103.8960813,3.7,10.0
My Nasi Ayam @ Clementi Avenue 5 (Kedai Kopi),"380 Clementi Ave 5, Singapore 120380 #01-376",Yes,No,No,Yes,"Singaporean, Asian, Chinese",1.318344291,103.767572,2.4,5.0
My Nasi Ayam @ Bukit Batok Street 31 (Kedai Kopi),"376 Bukit Batok Street 31, Singapore 650376",Yes,No,No,Yes,"Singaporean, Asian, Chinese",1.358317052,103.7495799,2.0,2.0
My Nasi Ayam @ Bedok Food Centre,"1 Bedok Rd, Singapore 469572",Yes,No,No,Yes,"Singaporean, Asian, Chinese",1.321236658,103.9286766,3.1,35.0
Mawar Merah Deli @ Sin Ming Drive,"176 Sin Ming Dr, Singapore 575721 #04-18",No,Yes,No,Yes,"Malay, Indonesian, Nasi Padang",1.360901899,103.839928,5.0,5.0
Epok Epok Story @ Berseh Food Centre,"166 Jalan Besar, Singapore 208877 #B1-11",No,Yes,No,Yes,"Malay, Snacks",1.307344109,103.8568888,4.9,19.0
Taste of Morocco El Hassan @ Ayer Rajah Food Centre,"503 W Coast Dr, Singapore 120503",No,Yes,No,Yes,"Mediterranean, Western",1.311584337,103.759907,4.8,16.0
Aunty Sham Ayam Penyet @ Berseh Food Centre,"166 Jalan Besar, Singapore 208877 #9",No,Yes,No,Yes,"Asian, Indonesian",1.307344109,103.8568888,4.4,9.0
O'Braim Express @ Our Tampines Hub,"1 Tampines Walk, Singapore 528523 #01-60",No,Yes,No,Yes,"Malay, Asian, Snacks",1.352180469,103.940598,4.3,16.0
O'Braim @ Bedok North Street 3,"537 Bedok North Street 3, Singapore 460537",No,Yes,No,Yes,"Malay, Asian, Snacks",1.331773008,103.9242365,2.5,2.0
O'Braim @ Pasir Ris East CC,"1 Pasir Ris Drive 4, Singapore 519457",No,Yes,No,Yes,"Malay, Asian, Snacks",1.368356311,103.959597,3.5,16.0
al makan @ Tampines Street 21,"201d Tampines St. 21, Singapore 524201 #01-1155",No,Yes,Yes,No,"Indian, Asian",1.3522624,103.9535865,3.2,101.0
Al Barakath Restaurant @ Teban Gardens Road,"39 Teban Gardens Rd, #01-332/333, Singapore 600039 #01-332/333",No,Yes,No,Yes,Indian,1.3213689,103.7428452,4.0,225.0
Al Barakath @ Compassvale Drive,"215c Compassvale Dr, Singapore 543215",No,Yes,No,Yes,Indian,1.389770263,103.8927872,5.0,4.0
Prata Alley @ Alexandra Central Mall,"321 Alexandra Rd, Singapore 159971 #01-07",No,Yes,Yes,No,Indian,1.287283209,103.8052834,4.4,867.0
Naakin @ Amoy Street Food Centre,"7 Maxwell Rd, Singapore 069111 #01-68",No,Yes,No,Yes,Thai,1.279339864,103.8466525,4.7,31.0
Nasi Padang Sederhana @ Sengkang Kopitiam Square,"10 Sengkang Square, Singapore 544829",No,Yes,No,Yes,Malay,1.391620261,103.8936783,2.2,6.0
Penyet Kartini @ Sengkang Kopitiam Square,"10 Sengkang Square, Singapore 544829 #01-09/10",Yes,No,No,Yes,Indonesian,1.391620261,103.8936783,3.9,47.0
Isha Curry Puff @ Circuit Road Hawker Centre,"79 Circuit Rd, Singapore 370079 #01-53",No,Yes,No,Yes,"Snacks, Malay",1.326597067,103.8850523,4.3,39.0
Bahrakath Mutton Soup @ Adam Food Centre,"2 Adam Rd, Singapore 289876 #01-10",No,Yes,No,Yes,Indian,1.324159853,103.8141659,4.3,85.0
Adam Chicken Rice @ Adam Food Centre,"2 Adam Rd, Singapore 289876",No,Yes,No,Yes,Asian,1.324159853,103.8141659,3.9,22.0
Green Chilli Chicken Rice @ Sims Food Centre,"49 Sims Pl, Singapore 380049 #01-09",No,Yes,No,Yes,"Indonesian, Asian",1.317035024,103.8793099,4.4,229.0
Adam Chicken @ West Coast Food Centre,"503 W Coast Dr, Singapore 120503 #28",Yes,No,No,Yes,"Asian, Chicken Rice",1.311584337,103.759907,4.3,10.0
Nasi Lemak Specialist @ 137 Tampines Street 11,"137 Tampines St. 11, Singapore 521137 #01-14",No,Yes,No,Yes,Malay,1.3453735,103.9446295,4.1,45.0
Fiie's Cafe @ Toa Payoh Lorong 4,"73 Lor 4 Toa Payoh, Singapore 310073",No,Yes,Yes,No,"Malay, Nasi Ayam Goreng",1.334320011,103.8517143,3.5,23.0
Fiie's Cafe @ Lucky Plaza,"304 Orchard Rd, Singapore 238863 #06-52",No,Yes,Yes,No,"Malay, Nasi Ayam Goreng",1.304485791,103.8339419,3.1,216.0
Oh Ho Thai BBQ @ Bedok North Avenue 2,"418 Bedok North Ave 2, Singapore 460418 #01-55",Yes,No,Yes,No,"Thai, BBQ, Steamboat",1.328564212,103.9300365,4.1,28.0
Ali Khan Restaurant @ Macpherson Road,"508 MacPherson Rd, Singapore 368207",No,Yes,Yes,No,"Indian, Opens 24 Hours",1.332215836,103.8838522,4.0,718.0
NKS Restaurant @ Segar Road,"1 Segar Road, Singapore 677738",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",1.38684952,103.7717053,2.2,16.0
NKS Restaurant @ Pasir Ris Street 51,"527C Pasir Ris Street 51, Singapore 513525",No,Yes,No,Yes,"Indian, Thai, Western, Seafood",1.369373299,103.9479702,3.1,16.0
